date;time;temp °C;humidity %;pressure hPA;lux;average mic;pm1;pm2.5;pm10;gas;
24.06.08;21:12:25;25.1;52;1005;0;3.6;23;25;25;5685;
24.06.08;21:12:36;25.0;52;1005;0;5.7;23;33;33;5685;
24.06.08;21:12:46;25.0;52;1005;0;6.9;23;33;33;5685;
24.06.08;21:12:56;24.9;52;1005;0;6.1;23;32;32;5685;
24.06.08;21:13:07;24.8;53;1005;0;6.8;22;32;32;5685;
24.06.08;21:13:17;24.7;53;1005;0;6.8;22;31;31;5685;
24.06.08;21:13:28;24.7;53;1005;0;6.2;22;31;31;5685;
24.06.08;21:13:38;24.6;53;1005;0;7.1;22;31;31;5685;
24.06.08;21:13:49;24.6;53;1005;0;5.4;22;31;31;5685;
24.06.08;21:13:59;24.5;53;1005;0;5.4;22;31;31;5685;
24.06.08;21:14:10;24.5;53;1005;0;6.7;19;25;27;5685;
24.06.08;21:14:20;24.5;54;1005;0;5.8;19;24;26;5685;
24.06.08;21:14:31;24.4;53;1005;0;6.8;19;23;24;5685;
24.06.08;21:14:41;24.4;54;1005;0;6.1;19;22;25;5685;
24.06.08;21:14:52;24.4;54;1005;0;5.9;17;21;24;5685;
date;time;temp °C;humidity %;pressure hPA;lux;average mic;pm1;pm2.5;pm10;gas;
24.06.08;21:15:09;24.5;54;1005;0;3.5;17;19;19;5685;
24.06.08;21:15:20;24.3;54;1005;0;6.1;20;27;27;5685;
24.06.08;21:15:31;24.3;54;1005;0;6.1;20;27;27;5685;
24.06.08;21:15:41;24.3;54;1005;0;5.6;20;27;27;5685;
24.06.08;21:15:51;24.3;54;1005;0;6.8;19;26;26;5685;
24.06.08;21:16:02;24.3;54;1005;0;6.6;19;26;26;5685;
24.06.08;21:16:12;24.3;54;1005;0;7.0;19;26;26;5685;
24.06.08;21:16:23;24.3;54;1005;0;6.5;19;26;26;5685;
24.06.08;21:16:33;24.3;54;1005;0;5.4;19;26;26;5685;
24.06.08;21:16:44;24.2;54;1005;0;6.3;19;26;26;5685;
24.06.08;21:16:54;24.2;54;1005;0;6.0;19;25;25;5685;
24.06.08;21:17:05;24.2;54;1005;0;5.8;17;22;22;5685;
24.06.08;21:17:15;24.2;54;1005;0;6.1;18;22;22;5685;
24.06.08;21:17:26;24.2;54;1005;0;6.1;17;19;20;5685;
24.06.08;21:17:36;24.2;54;1005;0;5.7;14;17;19;5685;
24.06.08;21:17:47;24.2;54;1005;0;6.1;13;17;19;5685;
24.06.08;21:17:57;24.2;54;1005;0;6.3;11;16;19;5685;
date;time;temp °C;humidity %;pressure hPA;lux;average mic;pm1;pm2.5;pm10;gas;
24.06.08;21:18:25;24.3;54;1005;0;3.8;12;13;13;5685;
24.06.08;21:18:36;24.2;54;1005;0;5.5;12;12;19;5905;
24.06.08;21:18:46;24.2;54;1005;0;5.9;12;12;19;5971;
date;time;temp °C;humidity %;pressure hPA;lux;average mic;pm1;pm2.5;pm10;gas;
24.06.08;21:21:22;23.9;56;1005;0;3.6;15;15;15;6934;
24.06.08;21:21:33;23.8;56;1005;0;5.9;8;14;20;6193;
date;time;temp °C;humidity %;pressure hPA;lux;average mic;pm1;pm2.5;pm10;gas;
24.06.08;21:23:50;23.8;57;1005;0;3.5;16;27;27;7360;
date;time;temp °C;humidity %;pressure hPA;lux;average mic;pm1;pm2.5;pm10;gas;
24.06.08;21:26:40;23.8;57;1005;0;2.8;14;18;18;8286;
24.06.08;21:26:50;23.7;57;1005;0;5.9;10;15;15;6876;
24.06.08;21:27:01;23.7;57;1005;0;5.7;10;15;15;6424;
date;time;temp °C;humidity %;pressure hPA;lux;average mic;pm1;pm2.5;pm10;gas;
21.01.01;00:00:05;26.0;78;1005;0;5.2;14;16;16;5685;
21.01.01;00:00:16;25.5;62;1005;0;7.3;12;14;14;5685;
21.01.01;00:00:26;25.4;59;1005;0;7.0;12;14;14;5685;
21.01.01;00:00:37;25.2;57;1005;0;6.4;12;14;14;5715;
21.01.01;00:00:47;25.0;56;1005;0;6.9;12;14;14;6182;
21.01.01;00:00:58;24.9;56;1005;0;6.4;12;14;14;6448;
21.01.01;00:01:08;24.8;56;1005;0;6.8;12;14;14;6810;
21.01.01;00:01:19;24.7;56;1005;0;6.5;12;14;14;7181;
21.01.01;00:01:29;24.6;56;1005;0;6.0;12;14;14;7489;
21.01.01;00:01:40;24.5;56;1005;0;5.9;12;14;14;7801;
date;time;temp °C;humidity %;pressure hPA;lux;average mic;pm1;pm2.5;pm10;gas;
21.01.01;00:00:05;25.0;57;1005;0;6.6;13;13;13;10547;
date;time;temp °C;humidity %;pressure hPA;lux;average mic;pm1;pm2.5;pm10;gas;
24.06.08;21:31:41;25.0;56;1005;0;4.1;13;16;16;8946;
24.06.08;21:31:52;24.9;56;1005;0;6.7;12;15;15;8961;
date;time;temp °C;humidity %;pressure hPA;lux;average mic;pm1;pm2.5;pm10;gas;
24.06.08;21:32:47;24.6;57;1005;0;3.3;12;12;12;10836;
date;time;temp °C;humidity %;pressure hPA;lux;average mic;pm1;pm2.5;pm10;gas;
24.06.08;21:33:31;24.4;57;1005;0;2.6;13;19;19;11679;
24.06.08;21:33:41;24.3;57;1005;0;6.3;18;33;33;10925;
date;time;temp °C;humidity %;pressure hPA;lux;average mic;pm1;pm2.5;pm10;gas;
24.06.08;21:34:02;24.4;57;1005;0;4.0;12;18;34;11061;
24.06.08;21:34:13;24.4;57;1005;0;5.4;14;18;18;11096;
24.06.08;21:34:23;24.3;57;1005;0;6.1;14;18;18;11201;
24.06.08;21:34:34;24.3;57;1005;0;6.5;14;18;18;11490;
date;time;temp °C;humidity %;pressure hPA;lux;average mic;pm1;pm2.5;pm10;gas;
24.06.08;21:35:02;24.3;57;1005;0;4.4;14;18;18;12502;
24.06.08;21:35:12;24.1;57;1005;0;6.1;12;14;14;12681;
24.06.08;21:35:23;24.1;58;1005;0;6.7;12;14;14;12780;
24.06.08;21:35:33;24.0;58;1005;0;5.8;11;14;14;13101;
24.06.08;21:35:44;24.0;58;1005;0;6.3;11;14;14;13364;
24.06.08;21:35:54;24.0;58;1005;0;6.6;11;14;14;13637;
24.06.08;21:36:05;24.0;58;1005;0;5.9;11;14;14;14041;
24.06.08;21:36:15;24.0;58;1005;0;6.2;10;14;15;14509;
24.06.08;21:36:26;24.0;58;1005;0;5.8;10;14;15;14519;
24.06.08;21:36:36;24.0;58;1005;0;6.7;11;14;15;14609;
24.06.08;21:36:47;24.0;58;1005;0;7.2;11;19;20;14832;
24.06.08;21:36:57;24.0;58;1005;0;5.4;9;17;20;15126;
date;time;temp °C;humidity %;pressure hPA;lux;average mic;pm1;pm2.5;pm10;gas;
24.06.08;21:40:42;25.7;56;1005;0;3.9;15;17;17;18043;
date;time;temp °C;humidity %;pressure hPA;lux;average mic;pm1;pm2.5;pm10;gas;
21.01.01;00:00:05;26.4;58;1005;0;6.4;17;21;21;17311;
21.01.01;00:00:16;26.2;56;1005;0;8.1;15;18;18;14589;
21.01.01;00:00:26;26.1;55;1005;0;6.7;15;18;18;13655;
21.01.01;00:00:37;26.0;55;1005;0;6.5;14;18;18;13069;
21.01.01;00:00:47;25.9;55;1005;0;6.3;14;18;18;12795;
21.01.01;00:00:58;25.7;55;1005;0;6.9;14;18;18;12651;
21.01.01;00:01:08;25.7;56;1005;0;6.0;14;18;18;12502;
21.01.01;00:01:19;25.6;56;1005;0;6.3;13;18;18;12741;
21.01.01;00:01:29;25.5;56;1005;0;6.6;13;18;18;13037;
21.01.01;00:01:40;25.4;56;1005;0;6.3;13;18;18;13166;
21.01.01;00:01:50;25.3;57;1005;0;6.6;10;18;18;13248;
21.01.01;00:02:01;25.2;57;1005;0;6.6;10;18;18;13814;
21.01.01;00:02:11;25.1;57;1005;0;6.6;11;19;20;14229;
21.01.01;00:02:22;25.1;57;1005;0;6.1;12;20;20;14431;
21.01.01;00:02:32;25.0;57;1005;0;6.0;11;19;21;14863;
21.01.01;00:02:43;24.9;57;1005;0;6.2;10;19;21;14842;
21.01.01;00:02:53;24.8;57;1005;0;6.8;9;18;19;15137;
21.01.01;00:03:04;24.8;57;1005;0;5.7;9;18;19;15289;
21.01.01;00:03:14;24.7;57;1005;0;7.1;8;18;19;15648;
21.01.01;00:03:25;24.7;58;1005;0;7.2;9;19;20;15857;
21.01.01;00:03:35;24.6;58;1005;0;7.3;8;18;19;16207;
21.01.01;00:03:46;24.6;58;1005;0;6.0;9;19;20;16281;
21.01.01;00:03:56;24.6;58;1005;0;6.4;9;18;21;16533;
21.01.01;00:04:07;24.5;58;1005;0;6.5;7;16;18;16728;
21.01.01;00:04:17;24.5;58;1005;0;7.3;10;19;21;17035;
21.01.01;00:04:28;24.5;58;1005;0;6.6;10;18;19;17227;
21.01.01;00:04:38;24.4;58;1005;0;7.3;10;20;21;17158;
21.01.01;00:04:49;24.4;59;1005;0;7.1;10;20;21;17626;
21.01.01;00:04:59;24.3;59;1005;0;6.6;10;20;21;17568;
21.01.01;00:05:10;24.3;59;1005;0;7.6;11;21;22;17892;
21.01.01;00:05:20;24.3;59;1005;0;6.2;10;20;20;18135;
21.01.01;00:05:31;24.3;59;1005;0;6.0;9;19;20;18275;
21.01.01;00:05:41;24.2;59;1005;0;7.5;10;19;20;18481;
21.01.01;00:05:52;24.2;59;1005;0;7.7;12;19;20;19076;
21.01.01;00:06:02;24.2;59;1005;0;6.5;11;19;20;18840;
21.01.01;00:06:13;24.2;59;1005;0;7.1;11;18;18;18857;
21.01.01;00:06:23;24.1;59;1005;0;7.0;12;19;21;19300;
21.01.01;00:06:34;24.1;59;1005;0;6.0;12;19;21;19388;
21.01.01;00:06:44;24.1;59;1005;0;6.0;11;19;21;19042;
21.01.01;00:06:55;24.1;59;1005;0;7.1;14;21;22;19620;
21.01.01;00:07:05;24.1;60;1005;0;6.2;15;20;20;19638;
21.01.01;00:07:16;24.0;60;1005;0;5.6;15;19;19;19969;
21.01.01;00:07:26;24.0;60;1005;0;6.3;14;19;19;20119;
21.01.01;00:07:37;24.0;60;1005;0;5.5;12;18;19;19969;
21.01.01;00:07:47;24.0;60;1005;0;5.7;13;19;20;20157;
21.01.01;00:07:58;24.0;60;1005;0;6.4;13;20;22;20990;
21.01.01;00:08:08;23.9;60;1005;0;5.7;11;18;21;21073;
21.01.01;00:08:19;24.0;60;1005;0;5.3;12;19;21;21199;
21.01.01;00:08:29;24.0;60;1005;0;5.8;12;19;20;20990;
21.01.01;00:08:40;24.0;60;1005;0;6.4;12;19;19;20970;
21.01.01;00:08:50;23.9;60;1005;0;5.4;13;19;20;21563;
21.01.01;00:09:01;23.9;60;1005;0;5.3;13;20;22;21542;
21.01.01;00:09:11;23.9;60;1005;0;6.1;11;18;20;21806;
21.01.01;00:09:22;23.9;60;1005;0;5.8;11;18;20;22168;
21.01.01;00:09:32;23.9;60;1005;0;6.0;11;18;19;21963;
21.01.01;00:09:43;23.9;60;1005;0;5.8;11;18;19;21806;
21.01.01;00:09:53;23.9;60;1005;0;4.9;11;18;19;21717;
21.01.01;00:10:04;23.8;60;1005;0;6.1;12;19;20;22307;
21.01.01;00:10:14;23.8;60;1005;0;6.0;12;19;21;22882;
21.01.01;00:10:25;23.8;61;1005;0;5.3;13;20;22;23726;
21.01.01;00:10:35;23.8;61;1005;0;5.5;11;19;20;22882;
21.01.01;00:10:46;23.8;61;1005;0;5.9;10;19;21;22354;
21.01.01;00:10:56;23.8;61;1005;0;5.9;11;20;21;22077;
21.01.01;00:11:07;23.8;61;1005;0;6.7;11;20;21;22261;
21.01.01;00:11:17;23.8;61;1005;0;5.3;9;19;19;22882;
21.01.01;00:11:28;23.8;61;1005;0;6.5;9;19;21;23503;
21.01.01;00:11:38;23.8;61;1005;0;6.4;11;20;23;22882;
21.01.01;00:11:49;23.8;61;1005;0;6.4;11;19;22;23686;
21.01.01;00:11:59;23.8;61;1005;0;8.0;11;20;21;22931;
21.01.01;00:12:10;23.8;61;1005;0;5.3;10;20;22;22784;
21.01.01;00:12:20;23.8;61;1005;0;6.2;10;20;21;23966;
21.01.01;00:12:31;23.7;61;1005;0;5.9;12;22;22;24362;
21.01.01;00:12:41;23.7;61;1005;0;5.8;12;21;22;24859;
21.01.01;00:12:52;23.7;61;1005;0;5.8;13;21;22;24859;
21.01.01;00:13:02;23.7;61;1005;0;6.4;13;21;22;25620;
21.01.01;00:13:13;23.7;61;1005;0;6.4;12;20;21;26027;
21.01.01;00:13:23;23.7;61;1005;0;4.8;13;21;22;26430;
21.01.01;00:13:34;23.7;61;1005;0;5.7;12;20;22;26496;
21.01.01;00:13:44;23.7;61;1005;0;6.0;11;19;21;26999;
21.01.01;00:13:55;23.7;61;1005;0;7.4;11;18;19;27240;
21.01.01;00:14:05;23.7;61;1005;0;6.7;12;18;19;26913;
21.01.01;00:14:16;23.7;61;1005;0;6.6;12;18;19;26414;
21.01.01;00:14:26;23.7;61;1005;0;6.5;12;19;21;27016;
21.01.01;00:14:37;23.7;61;1005;0;6.1;16;21;22;26795;
21.01.01;00:14:47;23.7;61;1005;0;5.5;15;21;22;25791;
21.01.01;00:14:58;23.7;61;1005;0;6.8;14;20;22;25682;
21.01.01;00:15:08;23.7;61;1005;0;6.1;14;20;22;25682;
21.01.01;00:15:19;23.7;61;1005;0;6.5;14;20;22;25698;
21.01.01;00:15:29;23.7;61;1005;0;6.0;14;20;22;25152;
21.01.01;00:15:40;23.7;61;1005;0;6.9;14;20;21;24859;
21.01.01;00:15:50;23.7;61;1005;0;6.7;14;20;21;25452;
21.01.01;00:16:01;23.7;61;1005;0;6.4;15;21;22;26365;
21.01.01;00:16:11;23.7;61;1005;0;5.9;15;21;22;26578;
21.01.01;00:16:22;23.7;61;1005;0;5.5;16;21;22;26075;
21.01.01;00:16:32;23.7;61;1005;0;7.5;16;22;23;26059;
21.01.01;00:16:43;23.7;61;1005;0;6.5;16;21;24;26728;
21.01.01;00:16:53;23.6;61;1005;0;5.5;14;19;22;27240;
21.01.01;00:17:04;23.7;61;1005;0;5.9;13;19;21;27574;
21.01.01;00:17:14;23.6;61;1005;0;8.0;12;19;22;29277;
21.01.01;00:17:25;23.7;61;1005;0;6.7;11;17;21;29830;
21.01.01;00:17:35;23.6;61;1005;0;6.9;13;20;23;30146;
21.01.01;00:17:46;23.7;61;1005;0;6.8;13;21;22;30339;
21.01.01;00:17:56;23.6;61;1005;0;6.1;12;20;20;30556;
21.01.01;00:18:07;23.7;61;1005;0;5.8;13;20;20;30167;
21.01.01;00:18:17;23.7;61;1005;0;6.4;14;21;21;29872;
21.01.01;00:18:28;23.7;61;1005;0;5.7;14;20;22;29500;
21.01.01;00:18:38;23.6;61;1005;0;5.8;13;19;22;29582;
21.01.01;00:18:49;23.7;61;1005;0;7.3;13;20;21;29358;
21.01.01;00:18:59;23.6;61;1005;0;6.8;12;20;21;30339;
21.01.01;00:19:10;23.6;61;1005;0;7.1;12;20;20;31738;
21.01.01;00:19:20;23.6;61;1005;0;6.7;12;20;21;32487;
21.01.01;00:19:31;23.6;61;1005;0;6.0;13;20;21;32217;
21.01.01;00:19:41;23.6;61;1005;0;6.7;13;20;21;32072;
21.01.01;00:19:52;23.6;61;1005;0;7.7;13;19;20;31644;
21.01.01;00:20:02;23.6;61;1005;0;6.7;14;20;22;32096;
21.01.01;00:20:13;23.6;61;1005;0;7.1;16;22;24;32315;
21.01.01;00:20:23;23.6;61;1005;0;6.9;16;22;25;31411;
21.01.01;00:20:34;23.6;61;1005;0;7.0;15;21;25;32217;
21.01.01;00:20:45;23.6;61;1005;0;6.2;18;23;25;31691;
21.01.01;00:20:55;23.6;61;1005;0;6.7;17;21;24;31762;
21.01.01;00:21:06;23.6;61;1005;0;7.6;17;21;23;32242;
21.01.01;00:21:16;23.6;61;1005;0;6.0;18;22;24;31365;
21.01.01;00:21:27;23.6;61;1005;0;7.4;18;22;24;30556;
21.01.01;00:21:37;23.6;61;1005;0;6.3;19;23;26;30644;
21.01.01;00:21:48;23.6;61;1005;0;6.4;18;21;24;31976;
21.01.01;00:21:58;23.6;61;1005;0;6.5;18;20;22;31691;
21.01.01;00:22:09;23.6;61;1005;0;6.8;17;19;22;31904;
21.01.01;00:22:19;23.6;61;1005;0;6.9;18;20;24;32315;
21.01.01;00:22:30;23.6;61;1005;0;6.1;16;20;24;33666;
21.01.01;00:22:40;23.6;61;1005;0;6.9;17;22;26;34623;
21.01.01;00:22:51;23.6;61;1005;0;5.6;15;21;23;34344;
21.01.01;00:23:01;23.6;61;1005;0;5.6;15;22;23;33482;
21.01.01;00:23:12;23.6;61;1005;0;5.6;14;22;24;33429;
21.01.01;00:23:22;23.6;61;1005;0;5.5;16;23;25;32266;
21.01.01;00:23:33;23.6;61;1005;0;6.4;14;21;23;31204;
21.01.01;00:23:43;23.6;61;1005;0;6.9;15;22;24;30933;
21.01.01;00:23:54;23.6;61;1005;0;5.7;14;20;22;31319;
21.01.01;00:24:04;23.6;61;1005;0;5.9;15;20;21;31550;
21.01.01;00:24:15;23.6;61;1005;0;5.6;15;21;23;31644;
21.01.01;00:24:26;23.6;61;1005;0;6.4;14;20;25;31785;
21.01.01;00:24:36;23.6;61;1005;0;5.9;15;21;25;32169;
21.01.01;00:24:47;23.6;61;1005;0;5.9;12;18;22;31880;
21.01.01;00:24:57;23.6;61;1005;0;6.9;14;19;22;31928;
21.01.01;00:25:08;23.6;62;1005;0;5.8;14;19;22;32512;
21.01.01;00:25:18;23.6;61;1005;0;5.3;16;22;23;33773;
21.01.01;00:25:29;23.6;61;1005;0;5.9;17;22;24;34344;
21.01.01;00:25:39;23.6;61;1005;0;6.4;15;21;24;34344;
21.01.01;00:25:50;23.6;61;1005;0;6.6;16;22;24;32964;
21.01.01;00:26:00;23.6;61;1005;0;5.1;14;21;23;32888;
21.01.01;00:26:11;23.6;61;1005;0;5.8;15;22;23;33118;
21.01.01;00:26:21;23.5;61;1005;0;5.3;15;22;23;33907;
21.01.01;00:26:32;23.5;62;1005;0;6.0;16;22;23;34289;
21.01.01;00:26:42;23.5;62;1005;0;6.8;16;22;23;34043;
21.01.01;00:26:53;23.5;62;1005;0;5.5;15;21;22;33299;
21.01.01;00:27:03;23.5;62;1005;0;6.6;14;20;20;33221;
21.01.01;00:27:14;23.5;62;1005;0;5.7;14;20;20;34483;
21.01.01;00:27:24;23.5;62;1005;0;6.5;14;21;21;34372;
21.01.01;00:27:35;23.5;62;1005;0;6.9;15;21;21;34792;
21.01.01;00:27:45;23.5;62;1005;0;5.9;14;21;21;34344;
21.01.01;00:27:56;23.5;62;1005;0;5.9;15;20;20;34097;
21.01.01;00:28:06;23.6;62;1005;0;6.4;16;22;22;33561;
21.01.01;00:28:17;23.5;62;1005;0;6.2;16;23;24;33534;
21.01.01;00:28:27;23.5;62;1005;0;6.2;15;22;24;33988;
21.01.01;00:28:38;23.5;62;1005;0;6.3;16;22;24;33666;
